"ticker","company","price","date"
"CFCI","Liberty Kenya Holdings Limited","8.00","2020-10-18"
"CIC","CIC Insurance Group Limited","2.24","2020-10-18"
"COOP","Co-operative Bank of Kenya Limited","11.80","2020-10-18"
"DCON","Deacons (East Africa) Plc","0.45","2020-10-18"
"DTK","Diamond Trust Bank Kenya Limited","63.00","2020-10-18"
"EABL","East African Breweries Limited","163.00","2020-10-18"
"EGAD","Eaagads Limited","13.25","2020-10-18"
"EQTY","Equity Group Holdings Limited","34.95","2020-10-18"
"EVRD","Eveready East Africa Limited","0.97","2020-10-18"
"FAHR","STANLIB Fahari Income REIT","5.36","2020-10-18"
"FIRE","Sameer Africa Limited","3.50","2020-10-18"
"FTGH","Flame Tree Group Holdings Limited","1.30","2020-10-18"
"GLD","NewGold Exchange Traded Fund","1,970.00","2020-10-18"
"HAFR","Home Afrika Limited","0.40","2020-10-18"
"HFCK","Housing Finance Company Limited","3.63","2020-10-18"
"I&M","I&M Holdings Plc","43.50","2020-10-18"
"ICDC","Centum Investment Company Limited","18.30","2020-10-18"
"JUB","Jubilee Holdings Limited","275.00","2020-10-18"
"KAPC","Kapchorua Tea Company Limited","75.00","2020-10-18"
"KCB","KCB Bank Kenya Limited","37.20","2020-10-18"
"KEGN","Kenya Electricity Generating Co. Ltd.","5.22","2020-10-18"
"KNRE","Kenya Re-Insurance Corporation Ltd","2.24","2020-10-18"
"KPLC","Kenya Power & Lighting Co. Limited","1.75","2020-10-18"
"KPLC-P4","Kenya Power Pref. Shares at 4%","5.00","2020-10-18"
"KPLC-P7","Kenya Power Pref. Shares at 7%","6.00","2020-10-18"
"KQ","Kenya Airways Limited","3.83","2020-10-18"
"KUKZ","Kakuzi Limited","380.00","2020-10-18"
"KURV","Kurwitu Ventures Limited","1,500.00","2020-10-18"
"LIMT","Limuru Tea Company Limited","400.00","2020-10-18"
"LKL","Longhorn Publishers Limited","4.54","2020-10-18"
"MSC","Mumias Sugar Company Limited","0.28","2020-10-18"
"NBK","National Bank of Kenya Limited","4.12","2020-10-18"
"NBV","Nairobi Business Ventures Ltd","0.71","2020-10-18"
"NIC","NIC Bank Limited","22.95","2020-10-18"
"NMG","Nation Media Group","15.95","2020-10-18"
"NSE","Nairobi Securities Exchange Limited","8.28","2020-10-18"
"OCH","Olympia Capital Holdings Limited","2.14","2020-10-18"
"ORCH","Kenya Orchards Limited","11.05","2020-10-18"
"PAFR","Sanlam Kenya Plc","12.70","2020-10-18"
"PORT","East African Portland Cement Co. Ltd","16.00","2020-10-18"
"SASN","Sasini Tea and Coffee Limited","19.00","2020-10-18"
"SCAN","ScanGroup Limited","6.88","2020-10-18"
"SCBK","Standard Chartered Bank Limited","157.75","2020-10-18"
"SCOM","Safaricom Limited","30.10","2020-10-18"
"SGL","Standard Group Limited","18.10","2020-10-18"
"TCL","Trans Century Limited","1.53","2020-10-18"
"TOTL","Total Kenya Limited","23.75","2020-10-18"
"TPSE","TPS Eastern Africa (Serena) Limited","15.00","2020-10-18"
"UCHM","Uchumi Supermarket Limited","0.28","2020-10-18"
"UMME","Umeme Limited","6.48","2020-10-18"
"UNGA","Unga Group Limited","30.65","2020-10-18"
"WTK","Williamson Tea Kenya Limited","140.00","2020-10-18"
"XPRS","Express Kenya Limited","4.50","2020-10-18"
ABSA,Absa Bank Kenya Plc,9.50,2020-10-19 00:00:00
ARM,ARM Cement Limited,5.55,2020-10-19 00:00:00
BAMB,Bamburi Cement Limited,23.25,2020-10-19 00:00:00
BAT,British American Tobacco (Kenya) Ltd.,350.00,2020-10-19 00:00:00
BERG,Crown Paints Kenya Limited,42.50,2020-10-19 00:00:00
BKG,Bank of Kigali Group Limited,14.00,2020-10-19 00:00:00
BOC,BOC Kenya Limited,57.00,2020-10-19 00:00:00
BRIT,Britam Holdings Limited,7.50,2020-10-19 00:00:00
C&G,Car and General (Kenya) Limited,24.00,2020-10-19 00:00:00
CABL,East African Cables Limited,1.47,2020-10-19 00:00:00
CARB,Carbacid Investments Limited,8.40,2020-10-19 00:00:00
CFC,Stanbic Holdings Limited,84.00,2020-10-19 00:00:00
CFCI,Liberty Kenya Holdings Limited,7.84,2020-10-19 00:00:00
CIC,CIC Insurance Group Limited,2.24,2020-10-19 00:00:00
COOP,Co-operative Bank of Kenya Limited,11.85,2020-10-19 00:00:00
